,ImgName,ImgMD5,landmark,same_name,cls
0,20001-女-27-左.jpg,a005de51de15f75250cac39fd12fb7c5,"[('2857', 1310.0), ('2204', 966.0), ('1776', 1160.0), ('1330', 1335.0), ('1238', 1599.0), ('1208', 1664.0), ('1239', 1903.0), ('1242', 1957.0), ('1388', 2193.0), ('1441', 2243.0), ('1645', 2474.0), ('2910', 2221.0)]",['ML_1_3_4142.jpg'],"[""('1', '3')""]"
1,20002-男-20-右.jpg,4614ada09f3b3fe18d13b57533f33895,"[('3766', 998.0), ('2323', 578.0), ('2123', 923.0), ('1986', 996.0), ('1901', 1300.0), ('1861', 1368.0), ('1908', 1694.0), ('1878', 1798.0), ('1963', 2150.0), ('2635', 2231.0), ('3111', 2481.0), ('3703', 1989.0)]","['ML_1_3_4602.jpg', 'ML_1_4_449.jpg', 'ML_8_3_723.jpg']","[""('1', '3')"", ""('1', '4')"", ""('8', '3')""]"
2,20001-女-27-左.jpg,a005de51de15f75250cac39fd12fb7c5,"[('2845', 1314.0), ('2207', 963.0), ('1777', 1160.0), ('1342', 1334.0), ('1240', 1598.0), ('1223', 1660.0), ('1235', 1896.0), ('1257', 1942.0), ('1358', 2178.0), ('1446', 2242.0), ('1656', 2478.0), ('2929', 2222.0)]",['ML_1_3_4142.jpg'],"[""('1', '3')""]"
3,20002-男-20-右.jpg,4614ada09f3b3fe18d13b57533f33895,"[('3762', 999.0), ('2324', 577.0), ('2122', 924.0), ('1992', 994.0), ('1902', 1304.0), ('1862', 1367.0), ('1906', 1698.0), ('1868', 1818.0), ('1966', 2146.0), ('2631', 2240.0), ('3116', 2478.0), ('3701', 1991.0)]","['ML_1_3_4602.jpg', 'ML_1_4_449.jpg', 'ML_8_3_723.jpg']","[""('1', '3')"", ""('1', '4')"", ""('8', '3')""]"
4,20002-男-20-左.jpg,733d2a6b1d2a386891fbe1e1f41fe400,"[('3709', 1011.0), ('2793', 453.0), ('2517', 755.0), ('1936', 988.0), ('1802', 1337.0), ('1779', 1492.0), ('1828', 1800.0), ('1834', 1892.0), ('1967', 2203.0), ('2122', 2256.0), ('2346', 2575.0), ('3782', 2125.0)]","['ML_1_3_2428.jpg', 'ML_1_4_773.jpg', 'ML_8_3_747.jpg']","[""('1', '3')"", ""('1', '4')"", ""('8', '3')""]"
5,20003-男-30-右.jpg,ce458e6967ccc1eba4da19be2e00549d,"[('3913', 1189.0), ('2491', 645.0), ('2284', 909.0), ('2220', 969.0), ('2084', 1187.0), ('2047', 1245.0), ('1978', 1504.0), ('1957', 1586.0), ('2015', 1914.0), ('2424', 2018.0), ('2868', 2365.0), ('3484', 2139.0)]","['ML_1_3_2237.jpg', 'ML_1_4_1699.jpg']","[""('1', '3')"", ""('1', '4')""]"
6,20003-男-30-左.jpg,49f325f1082ee992d4393ea00b55e675,"[('3503', 1025.0), ('3034', 703.0), ('2503', 960.0), ('1902', 1194.0), ('1830', 1507.0), ('1839', 1614.0), ('1860', 1913.0), ('1900', 1964.0), ('2068', 2233.0), ('2144', 2302.0), ('2402', 2594.0), ('3889', 2002.0)]","['ML_1_3_2028.jpg', 'ML_1_4_1400.jpg']","[""('1', '3')"", ""('1', '4')""]"
7,20005-男-20-右.jpg,bebae8fb872d09486866edc8a3f8b387,"[('3254', 942.0), ('2180', 639.0), ('2032', 844.0), ('1961', 912.0), ('1877', 1104.0), ('1850', 1154.0), ('1851', 1379.0), ('1839', 1444.0), ('1913', 1705.0), ('2312', 1832.0), ('2779', 2026.0), ('3158', 1758.0)]",['ML_1_3_153.jpg'],"[""('1', '3')""]"
8,20005-男-20-左.jpg,39e0396206658235e52b0d9b458ef417,"[('2948', 1179.0), ('2515', 898.0), ('2100', 1139.0), ('1657', 1316.0), ('1596', 1602.0), ('1609', 1663.0), ('1611', 1932.0), ('1640', 1967.0), ('1745', 2193.0), ('1843', 2246.0), ('2069', 2469.0), ('3094', 2017.0)]",['ML_1_3_5779.jpg'],"[""('1', '3')""]"
9,20008-男-20-右.jpg,a3c4249e5c131524e6d7a4824fab3f2f,"[('3809', 1314.0), ('2366', 647.0), ('2092', 951.0), ('1991', 1002.0), ('1815', 1294.0), ('1747', 1379.0), ('1706', 1747.0), ('1660', 1868.0), ('1761', 2252.0), ('2360', 2488.0), ('2930', 2978.0), ('3517', 2605.0)]","['ML_1_1_305.jpg', 'ML_1_3_4465.jpg']","[""('1', '1')"", ""('1', '3')""]"
10,20008-男-20-左.jpg,9cfce54f1a576d263fa6b3ae9caa3462,"[('3754', 1112.0), ('3238', 684.0), ('2618', 1064.0), ('1917', 1313.0), ('1821', 1713.0), ('1829', 1837.0), ('1857', 2184.0), ('1920', 2274.0), ('2044', 2555.0), ('2205', 2657.0), ('2439', 2946.0), ('4019', 2335.0)]","['ML_1_1_574.jpg', 'ML_1_3_284.jpg']","[""('1', '1')"", ""('1', '3')""]"
11,20009-男-19-右.jpg,f6088c04e16b14f86104c11438f4cec1,"[('3618', 588.0), ('2436', 270.0), ('2220', 543.0), ('2176', 571.0), ('2026', 854.0), ('2001', 899.0), ('1971', 1181.0), ('1981', 1271.0), ('2081', 1600.0), ('2550', 1750.0), ('3060', 2032.0), ('3570', 1682.0)]",['ML_1_3_2649.jpg'],"[""('1', '3')""]"
12,20009-男-19-左.jpg,fbd6fca626b7f2f9b75c9be028b06979,"[('3842', 912.0), ('3414', 579.0), ('2985', 812.0), ('2500', 919.0), ('2426', 1226.0), ('2435', 1288.0), ('2472', 1552.0), ('2483', 1577.0), ('2586', 1832.0), ('2687', 1857.0), ('2912', 2082.0), ('3835', 1844.0)]",['ML_1_3_2473.jpg'],"[""('1', '3')""]"
13,20010-男-18-右.jpg,fc3f6c810093b73447285c255ba8e376,"[('3832', 738.0), ('2420', 272.0), ('2165', 554.0), ('2118', 626.0), ('1925', 920.0), ('1891', 959.0), ('1889', 1242.0), ('1887', 1344.0), ('1964', 1665.0), ('2457', 1851.0), ('2908', 2174.0), ('3625', 1759.0)]",['ML_1_3_2658.jpg'],"[""('1', '3')""]"
14,20010-男-18-左.jpg,142549a04a8f3539ffb22333f66773ff,"[('3476', 894.0), ('2734', 401.0), ('2255', 744.0), ('1704', 958.0), ('1624', 1322.0), ('1631', 1399.0), ('1630', 1718.0), ('1649', 1752.0), ('1818', 2038.0), ('1874', 2106.0), ('2114', 2401.0), ('3711', 1952.0)]",['ML_1_3_4075.jpg'],"[""('1', '3')""]"
15,20011-女-49-右.jpg,de316faf4adc6460a2430adfde051de2,"[('3644', 886.0), ('2433', 406.0), ('2211', 621.0), ('2090', 653.0), ('1940', 917.0), ('1896', 949.0), ('1845', 1256.0), ('1831', 1324.0), ('1916', 1665.0), ('2488', 1779.0), ('3013', 2078.0), ('3523', 1885.0)]",['ML_1_3_1592.jpg'],"[""('1', '3')""]"
16,20011-女-49-左.jpg,d28fb0e56e077805e51827c59e1f409e,"[('3520', 738.0), ('2977', 455.0), ('2434', 697.0), ('1850', 893.0), ('1796', 1249.0), ('1815', 1328.0), ('1813', 1631.0), ('1869', 1692.0), ('2003', 1951.0), ('2150', 2003.0), ('2392', 2221.0), ('3594', 1707.0)]",['ML_1_3_3585.jpg'],"[""('1', '3')""]"
17,20012-男-20-右.jpg,d94b14135e4b09658a545919b1551d4e,"[('3746', 585.0), ('2257', 157.0), ('2000', 520.0), ('1934', 570.0), ('1802', 866.0), ('1782', 904.0), ('1791', 1239.0), ('1757', 1295.0), ('1867', 1644.0), ('2420', 1870.0), ('2962', 2106.0), ('3538', 1688.0)]",['ML_1_3_4032.jpg'],"[""('1', '3')""]"
18,20012-男-20-左.jpg,17a97a1a087a7402e457c90e6e15231f,"[('3712', 1201.0), ('3255', 747.0), ('2692', 914.0), ('2000', 1268.0), ('1892', 1612.0), ('1922', 1679.0), ('1906', 1991.0), ('1929', 2036.0), ('2079', 2385.0), ('2180', 2484.0), ('2446', 2802.0), ('3975', 2368.0)]",['ML_1_3_1928.jpg'],"[""('1', '3')""]"
19,20013-男-20-右.jpg,b26c84b4b9c7c783dd42555ba47de043,"[('2946', 723.0), ('1725', 295.0), ('1543', 532.0), ('1433', 569.0), ('1335', 786.0), ('1275', 827.0), ('1287', 1083.0), ('1264', 1148.0), ('1316', 1432.0), ('1635', 1550.0), ('1991', 1872.0), ('2589', 1674.0)]",['ML_8_3_12.jpg'],"[""('8', '3')""]"
20,20013-男-20-左.jpg,664ee3921a7e6cf603c277e9e59a09bc,"[('2736', 446.0), ('2099', 215.0), ('1727', 543.0), ('1429', 713.0), ('1346', 1005.0), ('1373', 1055.0), ('1392', 1300.0), ('1410', 1328.0), ('1561', 1549.0), ('1617', 1592.0), ('1788', 1829.0), ('3076', 1397.0)]",['ML_8_3_7.jpg'],"[""('8', '3')""]"
